BOX_ID,x0,y0,z0,x1,y1,z1,SHELF_ID,BIN_ID,CAJA,DESCRIPCION,CANTIDAD
109,295.0,675.0,350.0,505.0,855.0,650.0,2,72,CAJA #3,EM.MC1.60.TT,10
168,0.0,0.0,700.0,295.0,225.0,1050.0,3,72,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,0.0,700.0,590.0,225.0,1050.0,3,72,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,0.0,225.0,700.0,295.0,450.0,1050.0,3,72,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,590.0,0.0,700.0,815.0,350.0,995.0,3,72,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,225.0,700.0,590.0,450.0,1050.0,3,72,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,0.0,450.0,700.0,295.0,675.0,1050.0,3,72,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,590.0,350.0,700.0,815.0,700.0,995.0,3,72,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,450.0,700.0,590.0,675.0,1050.0,3,72,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
109,0.0,675.0,700.0,210.0,855.0,1000.0,3,72,CAJA #3,EM.MC1.60.TT,10
109,590.0,700.0,700.0,800.0,880.0,1000.0,3,72,CAJA #3,EM.MC1.60.TT,10
109,295.0,675.0,700.0,505.0,855.0,1000.0,3,72,CAJA #3,EM.MC1.60.TT,10
168,0.0,0.0,0.0,295.0,225.0,350.0,1,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,0.0,0.0,590.0,225.0,350.0,1,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,0.0,225.0,0.0,295.0,450.0,350.0,1,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,590.0,0.0,0.0,815.0,350.0,295.0,1,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,225.0,0.0,590.0,450.0,350.0,1,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,0.0,450.0,0.0,295.0,675.0,350.0,1,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,590.0,350.0,0.0,815.0,700.0,295.0,1,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,450.0,0.0,590.0,675.0,350.0,1,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
109,0.0,675.0,0.0,210.0,855.0,300.0,1,73,CAJA #3,EM.MC1.60.TT,10
109,590.0,700.0,0.0,800.0,880.0,300.0,1,73,CAJA #3,EM.MC1.60.TT,10
110,295.0,675.0,0.0,505.0,855.0,300.0,1,73,CAJA #3,EM.MC1.60.TT,10
168,0.0,0.0,350.0,295.0,225.0,700.0,2,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,0.0,350.0,590.0,225.0,700.0,2,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,0.0,225.0,350.0,295.0,450.0,700.0,2,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,590.0,0.0,350.0,815.0,350.0,645.0,2,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,225.0,350.0,590.0,450.0,700.0,2,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,0.0,450.0,350.0,295.0,675.0,700.0,2,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,590.0,350.0,350.0,815.0,700.0,645.0,2,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,450.0,350.0,590.0,675.0,700.0,2,73,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
110,0.0,675.0,350.0,210.0,855.0,650.0,2,73,CAJA #3,EM.MC1.60.TT,10
110,590.0,700.0,350.0,800.0,880.0,650.0,2,73,CAJA #3,EM.MC1.60.TT,10
110,295.0,675.0,350.0,505.0,855.0,650.0,2,73,CAJA #3,EM.MC1.60.TT,10
